,City,lat,lng,Movehub.Rating,Purchase.Power,Health.Care,Pollution,Quality.of.Life,Crime.Rating,ParksandRecSpending,EnternainmentandRecRank,NightlifeRank,NightlifeCostRank,SunshineHoursPerYear,CamelotClimateIndex
1,asheville,35.5950581,-82.5514869,83.17,70.51,79.02,30.55,81.34,30.21,10462434,NA,NA,NA,2662.4,68
2,atlanta,33.7489954,-84.3879824,84.92,80.83,61.11,63.09,80.51,56.04,60520203,14,5,100,2738.3,70
3,austin,30.267153,-97.7430608,84.86,69.22,73.61,28.84,86.51,42.5,157049177,17,11,69,2643.7,66
4,baltimore,39.2903848,-76.6121893,84.28,78.78,72.08,77.98,82,58.85,36699796,50,56,120,2581.7,65
5,birmingham,33.5185892,-86.8103567,80.85,46.41,75.23,66.53,75.4,47.51,NA,79,50,35,2641,65
6,boston,42.3600825,-71.0588801,82.2,59.28,78.04,61.77,82.81,40.69,90517683,20,20,179,2633.6,68
7,charlotte,35.2270869,-80.8431267,84.46,77.18,72.08,67.05,84.39,30.21,83595835,59,41,87,2821,69
8,chicago,41.8781136,-87.6297982,83.01,66.77,62.92,22.98,80.71,54.52,524284974,7,6,144,2508.4,63
9,dallas,32.7766642,-96.7969879,84.71,76.18,69.99,83.89,80.56,59.9,131223858,36,23,52,2849.7,66
10,detroit,42.331427,-83.0457538,70.63,73.81,63.05,83.45,50.99,76.69,63271495,84,60,31,2435.9,64
11,honolulu,21.3069444,-157.8583333,81.31,58.54,57.03,30.28,79.58,44.14,80403622,6,18,158,3035.9,75
12,houston,29.7604267,-95.3698028,85.24,71.96,79.44,65.21,74.08,61.72,199516230,34,15,38,2577.9,63
13,indianapolis,39.768403,-86.158068,84.52,80.72,36.66,82.08,77.13,30.21,34668752,63,35,10,2440.4,64
14,las vegas,36.1699412,-115.1398296,84.88,80.46,66.52,59.73,60.5,70.57,47635664,5,1,71,3825.3,78
15,los angeles,34.0522342,-118.2436849,86.86,62.75,68.61,75.2,62.82,65.74,439971169,8,12,159,3254.2,86
16,miami,25.7616798,-80.1917902,84.43,57.79,64.44,22.45,74.77,64.85,38552986,9,4,125,3154,70
17,minneapolis,44.977753,-93.2650108,83.47,69.91,62.35,77.94,83.79,40.36,126809146,23,36,94,2710.7,64
18,nashville,36.1626638,-86.7816016,80.61,80.3,60.3,0,80.5,25.5,43429653,38,24,88,2510.1,65
19,new orleans,29.9510658,-90.0715323,82.56,66.32,65.83,14.76,81.2,42.19,45600030,18,9,131,2648.9,65
20,new york,40.7127753,-74.0059728,90.53,55.56,51.39,12.01,61.94,47.33,1940884311,1,2,182,2534.7,68
21,newark,40.735657,-74.1723667,84.97,84.39,79.72,62.14,73.21,30.21,11834982,106,133,137,2555,68
22,orlando,28.5383355,-81.3792365,84.39,71.07,76.01,70.75,82.33,55.07,33898847,2,3,17,2600,71
23,philadelphia,39.9525839,-75.1652215,83.31,68.77,54.17,38.64,65.53,68.58,112240576,22,19,101,2498.4,67
24,phoenix,33.4483771,-112.0740373,86.37,80.54,64.9,38.77,82.55,41.41,129240097,53,67,8,3871.6,75
25,portland,45.5051064,-122.6750261,84.23,72.6,72.77,31.98,88.76,39.22,153143391,13,7,117,2340.9,72
26,rochester,43.1565779,-77.6088465,82.07,60.78,68.6,31.6,78.05,30.21,9016349,33,53,91,2360.6,62
27,san antonio,29.4241219,-98.4936282,83.76,74.78,60.97,59.19,84.88,51.41,142372762,37,25,9,2629.2,64
28,san diego,32.715738,-117.1610838,83.29,71.37,67.22,32.64,80.18,39.55,168425981,3,17,142,3054.6,89
29,san francisco,37.7749295,-122.4194155,85.38,63.54,75.46,17.06,79.08,32.25,290920817,4,8,177,3061.7,87
30,seattle,47.6062095,-122.3320708,85.38,78.46,75.46,32.9,84.1,42.03,253559029,10,14,175,2169.7,74
31,tampa,27.950575,-82.4571776,84.27,75.72,56.94,49.89,80.75,60.73,18712229,12,21,70,2926.5,71